COMMENT ('/*
  Este es un comentario multilinea.
  Este algoritmo es una variante del algoritmo de ordenamiento bogosort.
*/') en la línea 1, columna 1
VOID ('void') en la línea 6, columna 1
VARIABLE ('stoogesort') en la línea 6, columna 6
LPAREN ('(') en la línea 6, columna 16
VARIABLE ('List') en la línea 6, columna 17
LESS_THAN ('<') en la línea 6, columna 21
INT_TYPE ('int') en la línea 6, columna 22
GREATER_THAN ('>') en la línea 6, columna 25
VARIABLE ('arr') en la línea 6, columna 27
COMA (',') en la línea 6, columna 30
INT_TYPE ('int') en la línea 6, columna 32
VARIABLE ('l') en la línea 6, columna 36
COMA (',') en la línea 6, columna 37
INT_TYPE ('int') en la línea 6, columna 39
VARIABLE ('h') en la línea 6, columna 43
RPAREN (')') en la línea 6, columna 44
LKEY ('{') en la línea 6, columna 46
IF ('if') en la línea 7, columna 3
LPAREN ('(') en la línea 7, columna 6
VARIABLE ('arr[l]') en la línea 7, columna 7
GREATER_THAN ('>') en la línea 7, columna 14
VARIABLE ('arr[h]') en la línea 7, columna 16
RPAREN (')') en la línea 7, columna 22
LKEY ('{') en la línea 7, columna 24
COMMENT ('// Intercambia si el elemento inicial es mayor que el final') en la línea 8, columna 5
INT_TYPE ('int') en la línea 9, columna 5
VARIABLE ('temp') en la línea 9, columna 9
ASSIGN ('=') en la línea 9, columna 14
VARIABLE ('arr[l]') en la línea 9, columna 16
SEMICOLON (';') en la línea 9, columna 22
VARIABLE ('arr[l]') en la línea 10, columna 5
ASSIGN ('=') en la línea 10, columna 12
VARIABLE ('arr[h]') en la línea 10, columna 14
SEMICOLON (';') en la línea 10, columna 20
VARIABLE ('arr[h]') en la línea 11, columna 5
ASSIGN ('=') en la línea 11, columna 12
VARIABLE ('temp') en la línea 11, columna 14
SEMICOLON (';') en la línea 11, columna 18
RKEY ('}') en la línea 12, columna 3
IF ('if') en la línea 14, columna 3
LPAREN ('(') en la línea 14, columna 6
VARIABLE ('h') en la línea 14, columna 7
MINUS ('-') en la línea 14, columna 9
VARIABLE ('l') en la línea 14, columna 11
PLUS ('+') en la línea 14, columna 13
INT ('1') en la línea 14, columna 15
GREATER_THAN ('>') en la línea 14, columna 17
INT ('2') en la línea 14, columna 19
RPAREN (')') en la línea 14, columna 20
LKEY ('{') en la línea 14, columna 22
INT_TYPE ('int') en la línea 15, columna 5
VARIABLE ('t') en la línea 15, columna 9
ASSIGN ('=') en la línea 15, columna 11
LPAREN ('(') en la línea 15, columna 13
VARIABLE ('h') en la línea 15, columna 14
MINUS ('-') en la línea 15, columna 16
VARIABLE ('l') en la línea 15, columna 18
PLUS ('+') en la línea 15, columna 20
INT ('1') en la línea 15, columna 22
RPAREN (')') en la línea 15, columna 23
BITWISE_NOT ('~') en la línea 15, columna 25
DIVIDE ('/') en la línea 15, columna 26
INT ('3') en la línea 15, columna 28
SEMICOLON (';') en la línea 15, columna 29
COMMENT ('// Llamadas recursivas') en la línea 17, columna 5
VARIABLE ('stoogesort') en la línea 18, columna 5
LPAREN ('(') en la línea 18, columna 15
VARIABLE ('arr') en la línea 18, columna 16
COMA (',') en la línea 18, columna 19
VARIABLE ('l') en la línea 18, columna 21
COMA (',') en la línea 18, columna 22
VARIABLE ('h') en la línea 18, columna 24
MINUS ('-') en la línea 18, columna 26
VARIABLE ('t') en la línea 18, columna 28
RPAREN (')') en la línea 18, columna 29
SEMICOLON (';') en la línea 18, columna 30
COMMENT ('// Ordena los primeros 2/3') en la línea 18, columna 37
VARIABLE ('stoogesort') en la línea 19, columna 5
LPAREN ('(') en la línea 19, columna 15
VARIABLE ('arr') en la línea 19, columna 16
COMA (',') en la línea 19, columna 19
VARIABLE ('l') en la línea 19, columna 21
PLUS ('+') en la línea 19, columna 23
VARIABLE ('t') en la línea 19, columna 25
COMA (',') en la línea 19, columna 26
VARIABLE ('h') en la línea 19, columna 28
RPAREN (')') en la línea 19, columna 29
SEMICOLON (';') en la línea 19, columna 30
COMMENT ('// Ordena los últimos 2/3') en la línea 19, columna 37
VARIABLE ('stoogesort') en la línea 20, columna 5
LPAREN ('(') en la línea 20, columna 15
VARIABLE ('arr') en la línea 20, columna 16
COMA (',') en la línea 20, columna 19
VARIABLE ('l') en la línea 20, columna 21
COMA (',') en la línea 20, columna 22
VARIABLE ('h') en la línea 20, columna 24
MINUS ('-') en la línea 20, columna 26
VARIABLE ('t') en la línea 20, columna 28
RPAREN (')') en la línea 20, columna 29
SEMICOLON (';') en la línea 20, columna 30
COMMENT ('// Ordena los primeros 2/3 de nuevo') en la línea 20, columna 37
RKEY ('}') en la línea 21, columna 3
RKEY ('}') en la línea 22, columna 1
VOID ('void') en la línea 24, columna 1
VARIABLE ('main') en la línea 24, columna 6
LPAREN ('(') en la línea 24, columna 10
RPAREN (')') en la línea 24, columna 11
LKEY ('{') en la línea 24, columna 13
VARIABLE ('List') en la línea 25, columna 3
LESS_THAN ('<') en la línea 25, columna 7
INT_TYPE ('int') en la línea 25, columna 8
GREATER_THAN ('>') en la línea 25, columna 11
VARIABLE ('arr') en la línea 25, columna 13
ASSIGN ('=') en la línea 25, columna 17
LBRACKETS ('[') en la línea 25, columna 19
INT ('5') en la línea 25, columna 20
COMA (',') en la línea 25, columna 21
INT ('3') en la línea 25, columna 23
COMA (',') en la línea 25, columna 24
INT ('8') en la línea 25, columna 26
COMA (',') en la línea 25, columna 27
INT ('6') en la línea 25, columna 29
COMA (',') en la línea 25, columna 30
INT ('2') en la línea 25, columna 32
RBRACKETS (']') en la línea 25, columna 33
SEMICOLON (';') en la línea 25, columna 34
VARIABLE ('stoogesort') en la línea 26, columna 3
LPAREN ('(') en la línea 26, columna 13
VARIABLE ('arr') en la línea 26, columna 14
COMA (',') en la línea 26, columna 17
INT ('0') en la línea 26, columna 19
COMA (',') en la línea 26, columna 20
VARIABLE ('arr') en la línea 26, columna 22
PERIOD ('.') en la línea 26, columna 25
VARIABLE ('length') en la línea 26, columna 26
MINUS ('-') en la línea 26, columna 33
INT ('1') en la línea 26, columna 35
RPAREN (')') en la línea 26, columna 36
SEMICOLON (';') en la línea 26, columna 37
PRINT ('print') en la línea 27, columna 3
LPAREN ('(') en la línea 27, columna 8
STRING (''Arreglo ordenado: $arr'') en la línea 27, columna 9
RPAREN (')') en la línea 27, columna 33
SEMICOLON (';') en la línea 27, columna 34
RKEY ('}') en la línea 28, columna 1
