VOID ('void') en la línea 1, columna 1
VARIABLE ('main') en la línea 1, columna 6
LPAREN ('(') en la línea 1, columna 10
RPAREN (')') en la línea 1, columna 11
LKEY ('{') en la línea 1, columna 13
VAR_TYPE ('var') en la línea 2, columna 3
VARIABLE ('i') en la línea 2, columna 7
ASSIGN ('=') en la línea 2, columna 8
INT ('1') en la línea 2, columna 9
SEMICOLON (';') en la línea 2, columna 10
LIST ('List') en la línea 3, columna 3
LESS_THAN ('<') en la línea 3, columna 7
INT_TYPE ('int') en la línea 3, columna 8
GREATER_THAN ('>') en la línea 3, columna 11
VARIABLE ('numeros') en la línea 3, columna 13
ASSIGN ('=') en la línea 3, columna 21
LBRACKETS ('[') en la línea 3, columna 23
INT ('1') en la línea 3, columna 24
COMA (',') en la línea 3, columna 25
INT ('2') en la línea 3, columna 27
COMA (',') en la línea 3, columna 28
INT ('3') en la línea 3, columna 30
COMA (',') en la línea 3, columna 31
INT ('4') en la línea 3, columna 33
RBRACKETS (']') en la línea 3, columna 34
SEMICOLON (';') en la línea 3, columna 35
VAR_TYPE ('var') en la línea 4, columna 3
VARIABLE ('nombres') en la línea 4, columna 7
ASSIGN ('=') en la línea 4, columna 15
LBRACKETS ('[') en la línea 4, columna 17
STRING (''Juan','Ana','Pedro'') en la línea 4, columna 18
RBRACKETS (']') en la línea 4, columna 38
SEMICOLON (';') en la línea 4, columna 39
LIST ('List') en la línea 5, columna 3
LESS_THAN ('<') en la línea 5, columna 7
STRING_TYPE ('String') en la línea 5, columna 8
GREATER_THAN ('>') en la línea 5, columna 14
VARIABLE ('palabras') en la línea 5, columna 16
ASSIGN ('=') en la línea 5, columna 25
LBRACKETS ('[') en la línea 5, columna 27
RBRACKETS (']') en la línea 5, columna 28
SEMICOLON (';') en la línea 5, columna 29
VAR_TYPE ('var') en la línea 6, columna 3
VARIABLE ('nombresVacios') en la línea 6, columna 7
ASSIGN ('=') en la línea 6, columna 21
LBRACKETS ('[') en la línea 6, columna 23
RBRACKETS (']') en la línea 6, columna 24
SEMICOLON (';') en la línea 6, columna 25
INT_TYPE ('int') en la línea 7, columna 3
VARIABLE ('y') en la línea 7, columna 7
ASSIGN ('=') en la línea 7, columna 8
INT ('2') en la línea 7, columna 10
SEMICOLON (';') en la línea 7, columna 11
DOUBLE_TYPE ('double') en la línea 8, columna 3
VARIABLE ('z') en la línea 8, columna 10
ASSIGN ('=') en la línea 8, columna 12
DOUBLE ('3.14') en la línea 8, columna 14
SEMICOLON (';') en la línea 8, columna 18
VARIABLE ('y') en la línea 9, columna 3
INCREMENT_VAR ('++') en la línea 9, columna 4
SEMICOLON (';') en la línea 9, columna 6
RKEY ('}') en la línea 10, columna 1
LIST ('List') en la línea 12, columna 1
LESS_THAN ('<') en la línea 12, columna 5
INT_TYPE ('int') en la línea 12, columna 6
GREATER_THAN ('>') en la línea 12, columna 9
VARIABLE ('caca') en la línea 12, columna 11
LPAREN ('(') en la línea 12, columna 15
RPAREN (')') en la línea 12, columna 16
LKEY ('{') en la línea 12, columna 17
RETURN ('return') en la línea 13, columna 3
LBRACKETS ('[') en la línea 13, columna 10
INT ('1') en la línea 13, columna 11
COMA (',') en la línea 13, columna 12
INT ('2') en la línea 13, columna 13
COMA (',') en la línea 13, columna 14
INT ('3') en la línea 13, columna 15
RBRACKETS (']') en la línea 13, columna 16
SEMICOLON (';') en la línea 13, columna 17
RKEY ('}') en la línea 14, columna 1
